incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH,DAY_OF_WEEK,SEASON,FIRE_SIZE_CAT
Almond Fire,2023-08-02,Riverside,95.0,33.91436,-116.76111,8,2,Summer,Medium
Stanley Fire,2023-08-02,Riverside,16.0,33.602019,-116.84334,8,2,Summer,Small
Clayton Fire,2023-08-03,Santa Clara,68.0,37.368648,-121.464716,8,3,Summer,Medium
Ridge Fire,2023-08-04,Shasta,28.0,40.735974,-122.624538,8,4,Summer,Small
Boulevard Fire,2023-08-04,Kern,88.0,35.0990626,-118.2951023,8,4,Summer,Medium
No Name Fire,2023-08-05,Kern,1120.0,35.78611,-117.8875,8,5,Summer,Large
Almond Fire,2023-08-06,Kern,5228.0,35.614674,-119.835808,8,6,Summer,Large
Pass ,2023-08-06,San Diego,36.0,32.68535,-116.3017,8,6,Summer,Medium
Bunnie Fire,2023-08-09,San Diego,184.0,32.994676,-116.855731,8,2,Summer,Large
Rock Fire,2023-08-09,Riverside,531.0,33.871189,-117.150639,8,2,Summer,Large
Cemetery Fire,2023-08-09,Butte,68.0,39.377918,-121.68793,8,2,Summer,Medium
