incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH,DAY_OF_WEEK,SEASON,FIRE_SIZE_CAT
Kettle Fire,2021-10-11,Kings,447.0,35.983649,-119.960099,10,0,Fall,Large
Newell Fire,2021-10-11,Napa,132.0,38.170366,-122.241128,10,0,Fall,Medium
Alisal Fire,2021-10-11,Santa Barbara,16970.0,34.553,-120.136,10,0,Fall,Large
Canal Fire ,2021-10-14,Trinity,59.0,39.986836,-122.277441,10,3,Fall,Medium
Gravel Fire,2021-10-15,Modoc,200.0,41.862388,-120.358206,10,4,Fall,Large
Estrada Fire,2021-10-15,Santa Cruz,148.0,37.013464,-121.752106,10,4,Fall,Medium
Hollow Fire,2021-10-24,San Joaquin,150.0,37.62879,-121.52692,10,6,Fall,Medium
Arlanza Fire,2021-11-21,Riverside,24.0,33.952633,-117.487947,11,6,Fall,Small
Colorado Fire,2022-01-21,Monterey,687.0,36.396461,-121.880533,1,4,Winter,Large
Emerald Fire ,2022-02-10,Orange,154.0,33.558085,-117.805666,2,3,Winter,Medium
Airport Fire,2022-02-16,Inyo,4136.0,37.369355,-118.371813,2,2,Winter,Large
Alpine Fire ,2022-03-01,Sonoma,21.0,38.46234,-123.015106,3,1,Spring,Small
Flanagan Fire ,2022-03-04,Shasta,88.0,40.67671,-122.4073,3,4,Spring,Medium
Hollister Fire,2022-03-12,Santa Barbara,120.0,34.4687419,-120.2770391,3,5,Spring,Medium
Gulch Fire ,2022-03-12,Siskiyou,113.0,41.9525087,-121.9015432,3,5,Spring,Medium
Evergreen Fire ,2022-03-12,Siskiyou,12.0,41.4455854,-122.3685584,3,5,Spring,Small
Whitlow Fire,2022-03-25,Siskiyou,10.0,41.234712,-121.692093,3,4,Spring,Small
Platina Fire,2022-04-27,Shasta,10.0,40.44412,-122.690559,4,2,Spring,Small
111 Fire,2022-04-30,Riverside,15.0,33.510716,-115.916687,4,5,Spring,Small
Pyrite Fire ,2022-05-06,Riverside,60.0,34.018021,-117.462367,5,4,Spring,Medium
House Fire,2022-05-11,Fresno,171.0,36.974622,-119.443013,5,2,Spring,Large
Coastal Fire,2022-05-11,Orange,200.0,33.509464,-117.744398,5,2,Spring,Large
Coyote Fire,2022-05-15,Riverside,46.0,33.886637,-116.900635,5,6,Spring,Medium
Poplar Fire,2022-05-16,Tulare,25.0,36.051411,-118.98167,5,0,Spring,Small
Edmonston Fire,2022-05-19,Kern,682.0,34.935583,-118.873889,5,3,Spring,Large
Willow Fire ,2022-05-20,Contra Costa,28.0,38.015611,-121.998735,5,4,Spring,Small
Dunnigan Fire ,2022-05-20,Yolo,120.0,38.824462,-122.049621,5,4,Spring,Medium
Owens Fire,2022-05-20,Mendocino,36.0,38.8733747,-123.6641833,5,4,Spring,Medium
Quail Fire,2022-05-21,Solano,135.0,38.467322,-122.051923,5,5,Spring,Medium
Wilder Fire,2022-05-24,Tehama,90.0,40.150329,-122.275649,5,1,Spring,Medium
River Fire ,2022-05-24,Colusa,595.0,39.2333948,-122.0246463,5,1,Spring,Large
Bull Fire ,2022-05-24,San Luis Obispo,48.0,35.0155237,-120.3564497,5,1,Spring,Medium
Elk Trail Fire,2022-05-26,San Bernardino,431.0,34.090619,-116.447636,5,3,Spring,Large
Lost Lake Fire ,2022-05-26,Riverside,5856.0,34.010838,-114.484173,5,3,Spring,Large
Old Fire,2022-05-31,Napa,570.0,38.370078,-122.270417,5,1,Spring,Large
Range Fire,2022-06-03,Kern,93.0,35.199501,-118.721683,6,4,Summer,Medium
62 Fire,2022-06-04,Riverside,60.0,33.59823,-116.23339,6,5,Summer,Medium
Eagle Fire,2022-06-06,San Luis Obispo,36.0,35.72373,-120.56019,6,0,Summer,Medium
Hesperia Fire,2022-06-06,San Bernardino,95.0,34.31267,-117.34635,6,0,Summer,Medium
Marsh Fire,2022-06-09,Contra Costa,159.0,37.895892,-121.696808,6,3,Summer,Large
Park Fire,2022-06-09,Butte,54.0,39.385829,-121.431372,6,3,Summer,Medium
Graham Fire,2022-06-10,Tehama,100.0,40.05,-121.776,6,4,Summer,Medium
Plant Fire,2022-06-11,Kern,517.0,34.9324042,-118.9253809,6,5,Summer,Large
Brandie Fire,2022-06-11,Yuba,72.0,39.319804,-121.392285,6,5,Summer,Medium
Sheep Fire,2022-06-12,San Bernardino,865.0,34.355593,-117.61508,6,6,Summer,Large
Barrett Fire,2022-06-12,San Diego,65.0,32.8134303,-116.5882585,6,6,Summer,Medium
Border 13 Fire ,2022-06-13,San Diego,577.0,32.614832,-116.737119,6,0,Summer,Large
Rancho Fire,2022-06-13,Tehama,593.0,40.00919,-122.45621,6,0,Summer,Large
Border 16,2022-06-21,San Diego,70.0,32.567333,-116.750667,6,1,Summer,Medium
Edgewood,2022-06-21,Santa Cruz,20.0,37.459222,-122.27742,6,1,Summer,Small
Thunder Fire ,2022-06-22,Kern,2500.0,34.936618,-118.889446,6,2,Summer,Large
99 Fire,2022-06-22,Butte,66.0,39.37879,-121.68694,6,2,Summer,Medium
Scenic Fire ,2022-06-23,Contra Costa,120.0,38.046255,-122.191103,6,3,Summer,Medium
Canyon Fire ,2022-06-23,Alameda,71.0,37.642217,-121.903018,6,3,Summer,Medium
Tesla Fire,2022-06-23,Alameda,552.0,37.365652,-121.556086,6,3,Summer,Large
Timm Fire,2022-06-23,Solano,26.0,38.42619,-121.97785,6,3,Summer,Small
Romero Fire,2022-06-23,Merced,349.0,38.42619,-121.97785,6,3,Summer,Large
Kirker Fire ,2022-06-24,Contra Costa,90.0,37.97689,-121.908735,6,4,Summer,Medium
Union Fire,2022-06-25,Riverside,110.0,33.968307,-117.462524,6,5,Summer,Medium
Ridge Fire,2022-06-26,Siskiyou,12.0,41.317476,-122.359698,6,6,Summer,Small
