incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH_fire,DAY_OF_WEEK_fire,SEASON_fire,FIRE_SIZE_CAT,DATE,TAVG,TMAX,TMIN,AWND,PRCP,TAVG_CAT,TMAX_CAT,TMIN_CAT,PRCP_CAT,MONTH_weather,DAY_OF_WEEK_weather,SEASON_weather
Basalt Fire,2021-07-09,Merced,92.0,37.06047,-121.05758,7,4,Summer,Medium,2021-07-09,,,,,0.0,Unknown,,,Dry,7,4,Summer
Coyote Fire,2021-07-09,Modoc,110.0,41.28523,-121.77593,7,4,Summer,Medium,2021-07-09,,,,,0.0,Unknown,,,Dry,7,4,Summer
Road Fire,2021-07-10,San Diego,86.0,32.82731,-116.6253,7,5,Summer,Medium,2021-07-10,,,,,0.0,Unknown,,,Dry,7,5,Summer
Diablo Fire,2021-07-11,Contra Costa,128.0,37.865193,-121.667665,7,6,Summer,Medium,2021-07-11,,,,,0.0,Unknown,,,Dry,7,6,Summer
Bear Fire,2021-07-11,Kern,71.0,34.85178,-118.81448,7,6,Summer,Medium,2021-07-11,,,,,0.0,Unknown,,,Dry,7,6,Summer
River Fire,2021-07-11,Mariposa,9656.0,37.350823,-119.869785,7,6,Summer,Large,2021-07-11,,,,,0.0,Unknown,,,Dry,7,6,Summer
Bradley Fire,2021-07-11,Siskiyou,357.0,41.25272,-121.82403,7,6,Summer,Large,2021-07-11,,,,,0.0,Unknown,,,Dry,7,6,Summer
Dexter Fire,2021-07-12,Mono,2965.0,37.8024,-118.8745,7,0,Summer,Large,2021-07-12,,,,,0.0,Unknown,,,Dry,7,0,Summer
Dixie Fire,2021-07-13,"Butte, Plumas, Shasta, Lassen, Tehama",963309.0,39.871306,-121.389439,7,1,Summer,Large,2021-07-13,,27.2,20.6,2.8,0.0,Unknown,High,High,Dry,7,1,Summer
Cannon Fire,2021-07-14,Tehama,43.0,40.1703,-122.64768,7,2,Summer,Medium,2021-07-14,,26.7,21.7,3.4,0.0,Unknown,High,High,Dry,7,2,Summer
Dolicini Fire,2021-07-14,Marin,35.0,38.0975072,-122.7418335,7,2,Summer,Small,2021-07-14,,26.7,21.7,3.4,0.0,Unknown,High,High,Dry,7,2,Summer
Border 13 Fire,2021-07-15,San Diego,30.0,32.578481,-116.634023,7,3,Summer,Small,2021-07-15,,27.2,21.1,3.0,0.0,Unknown,High,High,Dry,7,3,Summer
Fork Fire,2021-07-17,Tehama,43.0,39.999396,-122.55195,7,5,Summer,Medium,2021-07-17,,31.1,20.0,2.1,0.0,Unknown,High,High,Dry,7,5,Summer
Chicken Fire,2021-07-18,Lassen,55.0,40.86955,-120.45187,7,6,Summer,Medium,2021-07-18,,,,,0.0,Unknown,,,Dry,7,6,Summer
Quail Fire,2021-07-20,Riverside,50.0,33.889516,-117.070814,7,1,Summer,Medium,2021-07-20,,,,,0.0,Unknown,,,Dry,7,1,Summer
Peak Fire,2021-07-20,Kern,2098.0,35.41153,-118.46461,7,1,Summer,Large,2021-07-20,,,,,0.0,Unknown,,,Dry,7,1,Summer
Frenchtown Fire,2021-07-20,Yuba,45.0,39.383922,-121.24684,7,1,Summer,Medium,2021-07-20,,,,,0.0,Unknown,,,Dry,7,1,Summer
Mountain Fire,2021-07-23,Trinity,25.0,39.976,-123.505,7,4,Summer,Small,2021-07-23,,27.2,20.6,2.6,0.0,Unknown,High,High,Dry,7,4,Summer
Park Fire,2021-07-26,Tulare,100.0,36.199833,-118.722167,7,0,Summer,Medium,2021-07-26,,27.8,20.0,1.9,4.3,Unknown,High,High,Dry,7,0,Summer
Pinnacles Fire,2021-07-28,Monterey,171.0,36.476664,-121.224797,7,2,Summer,Large,2021-07-28,,29.4,20.6,2.2,0.0,Unknown,High,High,Dry,7,2,Summer
Evans Fire,2021-07-29,Plumas,85.0,40.183504,-120.8468224,7,3,Summer,Medium,2021-07-29,,28.9,19.4,2.0,0.0,Unknown,High,High,Dry,7,3,Summer
McFarland Fire,2021-07-30,"Shasta, Trinity, Tehama",122653.0,40.35,-123.034,7,4,Summer,Large,2021-07-30,,33.9,18.9,1.3,0.0,Unknown,High,High,Dry,7,4,Summer
Robie Fire,2021-07-30,Calaveras,153.0,38.054116,-120.867498,7,4,Summer,Medium,2021-07-30,,33.9,18.9,1.3,0.0,Unknown,High,High,Dry,7,4,Summer
River Complex,2021-07-30,"Siskiyou, Trinity",199359.0,41.389,-123.057,7,4,Summer,Large,2021-07-30,,33.9,18.9,1.3,0.0,Unknown,High,High,Dry,7,4,Summer
Monument Fire,2021-07-30,Trinity,223124.0,40.752,-123.337,7,4,Summer,Large,2021-07-30,,33.9,18.9,1.3,0.0,Unknown,High,High,Dry,7,4,Summer
Hungry Fire,2021-07-31,Los Angeles,340.0,34.7479248,-118.8217926,7,5,Summer,Large,2021-07-31,,31.7,18.9,1.5,0.0,Unknown,High,High,Dry,7,5,Summer
Tobin Fire,2021-07-31,San Luis Obispo,75.0,35.65927,-120.560856,7,5,Summer,Medium,2021-07-31,,31.7,18.9,1.5,0.0,Unknown,High,High,Dry,7,5,Summer
Antelope Fire,2021-08-01,Siskiyou,145632.0,41.5289901,-121.9154934,8,6,Summer,Large,2021-08-01,,33.9,18.3,1.4,0.0,Unknown,High,High,Dry,8,6,Summer
Hiding Fire,2021-08-01,Shasta,50.0,40.466364,-122.482826,8,6,Summer,Medium,2021-08-01,,33.9,18.3,1.4,0.0,Unknown,High,High,Dry,8,6,Summer
Antonio Fire,2021-08-03,Los Angeles,50.0,34.23604,-117.65989,8,1,Summer,Medium,2021-08-03,,28.9,18.9,2.6,0.0,Unknown,High,High,Dry,8,1,Summer
House Fire,2021-08-04,Shasta,60.0,40.604986,-122.506112,8,2,Summer,Medium,2021-08-04,,26.7,18.9,2.7,0.0,Unknown,High,High,Dry,8,2,Summer
River Fire,2021-08-04,"Nevada, Placer",2619.0,39.08805,-121.01468,8,2,Summer,Large,2021-08-04,,26.7,18.9,2.7,0.0,Unknown,High,High,Dry,8,2,Summer
Hambone Fire,2021-08-06,Siskiyou,55.0,41.68499,-121.53946,8,4,Summer,Medium,2021-08-06,,,,,0.0,Unknown,,,Dry,8,4,Summer
Nelson Fire,2021-08-07,Shasta,20.0,41.034362,-121.89008,8,5,Summer,Small,2021-08-07,,,,,0.0,Unknown,,,Dry,8,5,Summer
Glen Fire,2021-08-11,Yuba,184.0,39.403918,-121.30845,8,2,Summer,Large,2021-08-11,,,,,0.5,Unknown,,,Dry,8,2,Summer
Middle Fire,2021-08-13,Sonoma,22.0,38.250596,-122.727542,8,4,Summer,Small,2021-08-13,,29.4,20.6,2.8,0.0,Unknown,High,High,Dry,8,4,Summer
Coyote Fire,2021-08-13,Lake,127.0,38.826123,-122.581257,8,4,Summer,Medium,2021-08-13,,29.4,20.6,2.8,0.0,Unknown,High,High,Dry,8,4,Summer
Bell Fire,2021-08-14,Mendocino,50.0,39.834099,-123.637032,8,5,Summer,Medium,2021-08-14,,28.3,20.6,2.1,0.0,Unknown,High,High,Dry,8,5,Summer
Caldor Fire,2021-08-14,"El Dorado, Alpine, Amador",221835.0,38.586,-120.537833,8,5,Summer,Large,2021-08-14,,28.3,20.6,2.1,0.0,Unknown,High,High,Dry,8,5,Summer
Walkers Fire,2021-08-16,Tulare,8777.0,36.268,-118.555,8,0,Summer,Large,2021-08-16,,27.8,21.1,3.0,0.0,Unknown,High,High,Dry,8,0,Summer
Cache Fire,2021-08-18,Lake,83.0,38.928133,-122.601395,8,2,Summer,Medium,2021-08-18,,,,,0.0,Unknown,,,Dry,8,2,Summer
McCash Fire,2021-08-18,Siskiyou,94962.0,41.564,-123.404,8,2,Summer,Large,2021-08-18,,,,,0.0,Unknown,,,Dry,8,2,Summer
Rock Fire,2021-08-24,Riverside,295.0,33.474823,-116.659688,8,1,Summer,Large,2021-08-24,,,,,0.0,Unknown,,,Dry,8,1,Summer
Mule Fire,2021-08-25,Shasta,10.0,40.616416,-122.514391,8,2,Summer,Small,2021-08-25,,,,,0.0,Unknown,,,Dry,8,2,Summer
Airola Fire,2021-08-25,Calaveras,639.0,38.038795,-120.454797,8,2,Summer,Large,2021-08-25,,,,,0.0,Unknown,,,Dry,8,2,Summer
South Fire,2021-08-25,San Bernardino,680.0,34.186147,-117.440263,8,2,Summer,Large,2021-08-25,,,,,0.0,Unknown,,,Dry,8,2,Summer
Westward Fire,2021-08-25,Riverside,160.0,33.918089,-116.877776,8,2,Summer,Large,2021-08-25,,,,,0.0,Unknown,,,Dry,8,2,Summer
Bennett Fire,2021-08-25,Nevada,59.0,39.216752,-121.040771,8,2,Summer,Medium,2021-08-25,,,,,0.0,Unknown,,,Dry,8,2,Summer
Washington Fire,2021-08-26,Tuolumne,100.0,37.962933,-120.402221,8,3,Summer,Medium,2021-08-26,,35.6,18.9,1.3,0.0,Unknown,High,High,Dry,8,3,Summer
Roadside Fire,2021-08-28,San Bernardino,50.0,34.25145,-117.4546,8,5,Summer,Medium,2021-08-28,,27.2,18.9,2.6,0.0,Unknown,High,High,Dry,8,5,Summer
Chaparral Fire,2021-08-28,"Riverside, San Diego",1427.0,33.484721,-117.39309,8,5,Summer,Large,2021-08-28,,27.2,18.9,2.6,0.0,Unknown,High,High,Dry,8,5,Summer
Railroad Fire,2021-08-29,San Bernardino,61.0,34.34,-117.466,8,6,Summer,Medium,2021-08-29,,,,,0.0,Unknown,,,Dry,8,6,Summer
Knob Fire,2021-08-29,Humboldt,2421.0,40.8652,-123.6744,8,6,Summer,Large,2021-08-29,,,,,0.0,Unknown,,,Dry,8,6,Summer
K-Rail,2021-08-30,Humboldt,16.0,41.03877,-123.52733,8,0,Summer,Small,2021-08-30,,27.2,19.4,1.8,0.0,Unknown,High,High,Dry,8,0,Summer
Lassen Fire,2021-09-01,Marin,44.0,38.0591827,-122.6131992,9,2,Fall,Medium,2021-09-01,,25.0,19.4,1.5,0.0,Unknown,Medium,High,Dry,9,2,Fall
Lawrence Fire,2021-09-05,Amador,46.0,38.529123,-120.731748,9,6,Fall,Medium,2021-09-05,,33.3,19.4,2.4,0.0,Unknown,High,High,Dry,9,6,Fall
Bridge Fire,2021-09-05,Placer,411.0,38.921239,-121.036613,9,6,Fall,Large,2021-09-05,,33.3,19.4,2.4,0.0,Unknown,High,High,Dry,9,6,Fall
Aruba Fire,2021-09-05,San Diego,54.0,33.380079,-117.111157,9,6,Fall,Medium,2021-09-05,,33.3,19.4,2.4,0.0,Unknown,High,High,Dry,9,6,Fall
Caballo Fire,2021-09-06,Santa Barbara,70.0,34.6776,-120.09009,9,0,Fall,Medium,2021-09-06,,27.2,20.6,3.4,0.0,Unknown,High,High,Dry,9,0,Fall
Route Fire,2021-09-11,Los Angeles,464.0,34.569383,-118.688821,9,5,Fall,Large,2021-09-11,,32.8,21.1,1.7,0.0,Unknown,High,High,Dry,9,5,Fall
Hopkins Fire,2021-09-12,Mendocino,257.0,39.232362,-123.202039,9,6,Fall,Large,2021-09-12,,29.4,18.9,2.1,0.0,Unknown,High,High,Dry,9,6,Fall
Childrens Fire,2021-09-19,Madera,42.0,36.89365,-119.792528,9,6,Fall,Medium,2021-09-19,,26.1,14.4,1.3,0.0,Unknown,Medium,Medium,Dry,9,6,Fall
University Fire,2021-09-22,San Bernardino,71.0,34.164501,-117.333215,9,2,Fall,Medium,2021-09-22,,,,,0.0,Unknown,,,Dry,9,2,Fall
Fremont Fire,2021-09-22,"Napa, Sonoma",116.0,38.269863,-122.416983,9,2,Fall,Medium,2021-09-22,,,,,0.0,Unknown,,,Dry,9,2,Fall
Fawn Fire,2021-09-22,Shasta,8578.0,40.729811,-122.320243,9,2,Fall,Large,2021-09-22,,,,,0.0,Unknown,,,Dry,9,2,Fall
Maxwell Fire,2021-10-05,Trinity,80.0,40.649917,-123.02375,10,1,Fall,Medium,2021-10-05,,26.1,18.9,2.9,1.5,Unknown,Medium,High,Dry,10,1,Fall
Newell Fire,2021-10-11,Napa,132.0,38.170366,-122.241128,10,0,Fall,Medium,2021-10-11,,22.8,15.6,3.6,0.0,Unknown,Medium,Medium,Dry,10,0,Fall
Alisal Fire,2021-10-11,Santa Barbara,16970.0,34.553,-120.136,10,0,Fall,Large,2021-10-11,,22.8,15.6,3.6,0.0,Unknown,Medium,Medium,Dry,10,0,Fall
View Fire ,2021-10-11,Tehama,24.0,40.287225,-122.436754,10,0,Fall,Small,2021-10-11,,22.8,15.6,3.6,0.0,Unknown,Medium,Medium,Dry,10,0,Fall
Kettle Fire,2021-10-11,Kings,447.0,35.983649,-119.960099,10,0,Fall,Large,2021-10-11,,22.8,15.6,3.6,0.0,Unknown,Medium,Medium,Dry,10,0,Fall
Canal Fire ,2021-10-14,Trinity,59.0,39.986836,-122.277441,10,3,Fall,Medium,2021-10-14,,25.6,11.7,1.5,0.0,Unknown,Medium,Low,Dry,10,3,Fall
Gravel Fire,2021-10-15,Modoc,200.0,41.862388,-120.358206,10,4,Fall,Large,2021-10-15,,32.2,12.8,1.3,0.0,Unknown,High,Medium,Dry,10,4,Fall
Estrada Fire,2021-10-15,Santa Cruz,148.0,37.013464,-121.752106,10,4,Fall,Medium,2021-10-15,,32.2,12.8,1.3,0.0,Unknown,High,Medium,Dry,10,4,Fall
Hollow Fire,2021-10-24,San Joaquin,150.0,37.62879,-121.52692,10,6,Fall,Medium,2021-10-24,,,,,0.0,Unknown,,,Dry,10,6,Fall
Arlanza Fire,2021-11-21,Riverside,24.0,33.952633,-117.487947,11,6,Fall,Small,2021-11-21,,31.1,11.1,3.8,0.0,Unknown,High,Low,Dry,11,6,Fall
Colorado Fire,2022-01-21,Monterey,687.0,36.396461,-121.880533,1,4,Winter,Large,2022-01-21,,21.1,10.0,3.6,0.0,Unknown,Low,Low,Dry,1,4,Winter
Emerald Fire ,2022-02-10,Orange,154.0,33.558085,-117.805666,2,3,Winter,Medium,2022-02-10,,32.8,17.8,5.2,0.0,Unknown,High,High,Dry,2,3,Winter
Airport Fire,2022-02-16,Inyo,4136.0,37.369355,-118.371813,2,2,Winter,Large,2022-02-16,,17.8,7.8,2.6,0.0,Unknown,Low,Low,Dry,2,2,Winter
Alpine Fire ,2022-03-01,Sonoma,21.0,38.46234,-123.015106,3,1,Spring,Small,2022-03-01,,31.1,8.9,1.0,0.0,Unknown,High,Low,Dry,3,1,Spring
Flanagan Fire ,2022-03-04,Shasta,88.0,40.67671,-122.4073,3,4,Spring,Medium,2022-03-04,,,,,0.0,Unknown,,,Dry,3,4,Spring
Gulch Fire ,2022-03-12,Siskiyou,113.0,41.9525087,-121.9015432,3,5,Spring,Medium,2022-03-12,,,,,0.0,Unknown,,,Dry,3,5,Spring
Evergreen Fire ,2022-03-12,Siskiyou,12.0,41.4455854,-122.3685584,3,5,Spring,Small,2022-03-12,,,,,0.0,Unknown,,,Dry,3,5,Spring
Hollister Fire,2022-03-12,Santa Barbara,120.0,34.4687419,-120.2770391,3,5,Spring,Medium,2022-03-12,,,,,0.0,Unknown,,,Dry,3,5,Spring
Whitlow Fire,2022-03-25,Siskiyou,10.0,41.234712,-121.692093,3,4,Spring,Small,2022-03-25,,26.7,11.7,1.2,0.0,Unknown,High,Low,Dry,3,4,Spring
Platina Fire,2022-04-27,Shasta,10.0,40.44412,-122.690559,4,2,Spring,Small,2022-04-27,,22.8,13.9,2.6,0.0,Unknown,Medium,Medium,Dry,4,2,Spring
111 Fire,2022-04-30,Riverside,15.0,33.510716,-115.916687,4,5,Spring,Small,2022-04-30,,26.7,12.2,1.8,0.0,Unknown,High,Medium,Dry,4,5,Spring
Pyrite Fire ,2022-05-06,Riverside,60.0,34.018021,-117.462367,5,4,Spring,Medium,2022-05-06,,22.8,15.0,3.0,0.0,Unknown,Medium,Medium,Dry,5,4,Spring
House Fire,2022-05-11,Fresno,171.0,36.974622,-119.443013,5,2,Spring,Large,2022-05-11,,21.7,10.6,2.3,0.0,Unknown,Low,Low,Dry,5,2,Spring
Coastal Fire,2022-05-11,Orange,200.0,33.509464,-117.744398,5,2,Spring,Large,2022-05-11,,21.7,10.6,2.3,0.0,Unknown,Low,Low,Dry,5,2,Spring
Coyote Fire,2022-05-15,Riverside,46.0,33.886637,-116.900635,5,6,Spring,Medium,2022-05-15,,25.0,16.7,3.0,0.0,Unknown,Medium,Medium,Dry,5,6,Spring
Poplar Fire,2022-05-16,Tulare,25.0,36.051411,-118.98167,5,0,Spring,Small,2022-05-16,,22.2,16.1,3.1,0.0,Unknown,Medium,Medium,Dry,5,0,Spring
Edmonston Fire,2022-05-19,Kern,682.0,34.935583,-118.873889,5,3,Spring,Large,2022-05-19,,,,,0.0,Unknown,,,Dry,5,3,Spring
Willow Fire ,2022-05-20,Contra Costa,28.0,38.015611,-121.998735,5,4,Spring,Small,2022-05-20,,20.6,15.6,3.3,1.0,Unknown,Low,Medium,Dry,5,4,Spring
Dunnigan Fire ,2022-05-20,Yolo,120.0,38.824462,-122.049621,5,4,Spring,Medium,2022-05-20,,20.6,15.6,3.3,1.0,Unknown,Low,Medium,Dry,5,4,Spring
Owens Fire,2022-05-20,Mendocino,36.0,38.8733747,-123.6641833,5,4,Spring,Medium,2022-05-20,,20.6,15.6,3.3,1.0,Unknown,Low,Medium,Dry,5,4,Spring
Quail Fire,2022-05-21,Solano,135.0,38.467322,-122.051923,5,5,Spring,Medium,2022-05-21,,,,,0.0,Unknown,,,Dry,5,5,Spring
Bull Fire ,2022-05-24,San Luis Obispo,48.0,35.0155237,-120.3564497,5,1,Spring,Medium,2022-05-24,,23.3,15.6,1.8,0.0,Unknown,Medium,Medium,Dry,5,1,Spring
River Fire ,2022-05-24,Colusa,595.0,39.2333948,-122.0246463,5,1,Spring,Large,2022-05-24,,23.3,15.6,1.8,0.0,Unknown,Medium,Medium,Dry,5,1,Spring
Wilder Fire,2022-05-24,Tehama,90.0,40.150329,-122.275649,5,1,Spring,Medium,2022-05-24,,23.3,15.6,1.8,0.0,Unknown,Medium,Medium,Dry,5,1,Spring
Elk Trail Fire,2022-05-26,San Bernardino,431.0,34.090619,-116.447636,5,3,Spring,Large,2022-05-26,,22.2,16.1,3.1,0.0,Unknown,Medium,Medium,Dry,5,3,Spring
Lost Lake Fire ,2022-05-26,Riverside,5856.0,34.010838,-114.484173,5,3,Spring,Large,2022-05-26,,22.2,16.1,3.1,0.0,Unknown,Medium,Medium,Dry,5,3,Spring
Old Fire,2022-05-31,Napa,570.0,38.370078,-122.270417,5,1,Spring,Large,2022-05-31,,24.4,13.9,1.7,0.0,Unknown,Medium,Medium,Dry,5,1,Spring
Range Fire,2022-06-03,Kern,93.0,35.199501,-118.721683,6,4,Summer,Medium,2022-06-03,,25.0,16.1,1.9,0.0,Unknown,Medium,Medium,Dry,6,4,Summer
62 Fire,2022-06-04,Riverside,60.0,33.59823,-116.23339,6,5,Summer,Medium,2022-06-04,,23.9,17.2,2.3,0.0,Unknown,Medium,High,Dry,6,5,Summer
Eagle Fire,2022-06-06,San Luis Obispo,36.0,35.72373,-120.56019,6,0,Summer,Medium,2022-06-06,,24.4,18.3,3.2,0.0,Unknown,Medium,High,Dry,6,0,Summer
Hesperia Fire,2022-06-06,San Bernardino,95.0,34.31267,-117.34635,6,0,Summer,Medium,2022-06-06,,24.4,18.3,3.2,0.0,Unknown,Medium,High,Dry,6,0,Summer
Marsh Fire,2022-06-09,Contra Costa,159.0,37.895892,-121.696808,6,3,Summer,Large,2022-06-09,,27.2,17.8,2.1,0.0,Unknown,High,High,Dry,6,3,Summer
Park Fire,2022-06-09,Butte,54.0,39.385829,-121.431372,6,3,Summer,Medium,2022-06-09,,27.2,17.8,2.1,0.0,Unknown,High,High,Dry,6,3,Summer
Graham Fire,2022-06-10,Tehama,100.0,40.05,-121.776,6,4,Summer,Medium,2022-06-10,,28.3,17.2,2.0,0.0,Unknown,High,High,Dry,6,4,Summer
Plant Fire,2022-06-11,Kern,517.0,34.9324042,-118.9253809,6,5,Summer,Large,2022-06-11,,28.9,17.8,1.9,0.0,Unknown,High,High,Dry,6,5,Summer
Brandie Fire,2022-06-11,Yuba,72.0,39.319804,-121.392285,6,5,Summer,Medium,2022-06-11,,28.9,17.8,1.9,0.0,Unknown,High,High,Dry,6,5,Summer
Barrett Fire,2022-06-12,San Diego,65.0,32.8134303,-116.5882585,6,6,Summer,Medium,2022-06-12,,26.1,17.2,2.3,0.0,Unknown,Medium,High,Dry,6,6,Summer
Sheep Fire,2022-06-12,San Bernardino,865.0,34.355593,-117.61508,6,6,Summer,Large,2022-06-12,,26.1,17.2,2.3,0.0,Unknown,Medium,High,Dry,6,6,Summer
Border 13 Fire ,2022-06-13,San Diego,577.0,32.614832,-116.737119,6,0,Summer,Large,2022-06-13,,25.0,18.9,3.1,0.0,Unknown,Medium,High,Dry,6,0,Summer
Rancho Fire,2022-06-13,Tehama,593.0,40.00919,-122.45621,6,0,Summer,Large,2022-06-13,,25.0,18.9,3.1,0.0,Unknown,Medium,High,Dry,6,0,Summer
Border 16,2022-06-21,San Diego,70.0,32.567333,-116.750667,6,1,Summer,Medium,2022-06-21,,30.0,17.8,1.7,0.0,Unknown,High,High,Dry,6,1,Summer
Edgewood,2022-06-21,Santa Cruz,20.0,37.459222,-122.27742,6,1,Summer,Small,2022-06-21,,30.0,17.8,1.7,0.0,Unknown,High,High,Dry,6,1,Summer
Thunder Fire ,2022-06-22,Kern,2500.0,34.936618,-118.889446,6,2,Summer,Large,2022-06-22,,32.8,18.9,1.7,2.5,Unknown,High,High,Dry,6,2,Summer
99 Fire,2022-06-22,Butte,66.0,39.37879,-121.68694,6,2,Summer,Medium,2022-06-22,,32.8,18.9,1.7,2.5,Unknown,High,High,Dry,6,2,Summer
Scenic Fire ,2022-06-23,Contra Costa,120.0,38.046255,-122.191103,6,3,Summer,Medium,2022-06-23,,33.9,18.3,1.7,0.0,Unknown,High,High,Dry,6,3,Summer
Canyon Fire ,2022-06-23,Alameda,71.0,37.642217,-121.903018,6,3,Summer,Medium,2022-06-23,,33.9,18.3,1.7,0.0,Unknown,High,High,Dry,6,3,Summer
Tesla Fire,2022-06-23,Alameda,552.0,37.365652,-121.556086,6,3,Summer,Large,2022-06-23,,33.9,18.3,1.7,0.0,Unknown,High,High,Dry,6,3,Summer
Timm Fire,2022-06-23,Solano,26.0,38.42619,-121.97785,6,3,Summer,Small,2022-06-23,,33.9,18.3,1.7,0.0,Unknown,High,High,Dry,6,3,Summer
Romero Fire,2022-06-23,Merced,349.0,38.42619,-121.97785,6,3,Summer,Large,2022-06-23,,33.9,18.3,1.7,0.0,Unknown,High,High,Dry,6,3,Summer
Kirker Fire ,2022-06-24,Contra Costa,90.0,37.97689,-121.908735,6,4,Summer,Medium,2022-06-24,,33.9,17.2,1.8,0.0,Unknown,High,High,Dry,6,4,Summer
Union Fire,2022-06-25,Riverside,110.0,33.968307,-117.462524,6,5,Summer,Medium,2022-06-25,,,,,0.0,Unknown,,,Dry,6,5,Summer
Ridge Fire,2022-06-26,Siskiyou,12.0,41.317476,-122.359698,6,6,Summer,Small,2022-06-26,,27.2,16.1,2.7,0.0,Unknown,High,Medium,Dry,6,6,Summer
Redwood Fire,2022-06-27,Marin,113.0,38.163521,-122.574563,6,0,Summer,Medium,2022-06-27,,,,,0.0,Unknown,,,Dry,6,0,Summer
Roblar Fire ,2022-06-27,Sonoma,63.0,38.323263,-122.796221,6,0,Summer,Medium,2022-06-27,,,,,0.0,Unknown,,,Dry,6,0,Summer
Burrows Fire ,2022-06-28,Glenn,317.0,39.713372,-122.55002,6,1,Summer,Large,2022-06-28,,28.9,19.4,2.9,0.0,Unknown,High,High,Dry,6,1,Summer
Camino Fire,2022-06-28,San Luis Obispo,387.0,35.136141,-120.437395,6,1,Summer,Large,2022-06-28,,28.9,19.4,2.9,0.0,Unknown,High,High,Dry,6,1,Summer
Rices Fire,2022-06-28,Nevada,904.0,39.319145,-121.192271,6,1,Summer,Large,2022-06-28,,28.9,19.4,2.9,0.0,Unknown,High,High,Dry,6,1,Summer
Nelson Fire,2022-06-30,Butte,328.0,39.524038,-121.650851,6,3,Summer,Large,2022-06-30,,,,,0.0,Unknown,,,Dry,6,3,Summer
Sandra Fire,2022-06-30,Butte,34.0,39.480813,-121.366789,6,3,Summer,Small,2022-06-30,,,,,0.0,Unknown,,,Dry,6,3,Summer
Table Fire,2022-07-01,Fresno,52.0,37.013878,-119.576797,7,4,Summer,Medium,2022-07-01,,26.1,18.3,2.8,0.0,Unknown,Medium,High,Dry,7,4,Summer
Garrison Fire,2022-07-04,Monterey,138.0,35.8640822,-120.819059,7,0,Summer,Medium,2022-07-04,,26.1,16.7,1.8,0.0,Unknown,Medium,Medium,Dry,7,0,Summer
Electra Fire,2022-07-04,"Amador, Calaveras",4470.0,38.334802,-120.665415,7,0,Summer,Large,2022-07-04,,26.1,16.7,1.8,0.0,Unknown,Medium,Medium,Dry,7,0,Summer
Jan-Dar Fire,2022-07-04,Butte,30.0,39.42972,-121.430071,7,0,Summer,Small,2022-07-04,,26.1,16.7,1.8,0.0,Unknown,Medium,Medium,Dry,7,0,Summer
Nome Fire,2022-07-05,Mendocino,20.0,39.8166571,-123.2055576,7,1,Summer,Small,2022-07-05,,27.8,17.8,2.0,0.0,Unknown,High,High,Dry,7,1,Summer
Washburn Fire,2022-07-07,Mariposa,4886.0,37.499,-119.614,7,3,Summer,Large,2022-07-07,,26.7,17.8,2.9,0.0,Unknown,High,High,Dry,7,3,Summer
Bay Fire,2022-07-08,Yuba,30.0,39.300253,-121.372749,7,4,Summer,Small,2022-07-08,,25.6,18.9,2.8,0.0,Unknown,Medium,High,Dry,7,4,Summer
Porter Fire,2022-07-09,Placer,166.0,39.020051,-121.344587,7,5,Summer,Large,2022-07-09,,31.1,17.2,1.7,0.0,Unknown,High,High,Dry,7,5,Summer
Harbison,2022-07-12,San Diego,37.0,32.7947379,-116.8460273,7,1,Summer,Medium,2022-07-12,,24.4,17.8,2.6,0.0,Unknown,Medium,High,Dry,7,1,Summer
Herman Fire,2022-07-13,Solano,115.0,38.0936839,-122.1347757,7,2,Summer,Medium,2022-07-13,,25.6,18.3,1.9,0.0,Unknown,Medium,High,Dry,7,2,Summer
Peter Fire ,2022-07-14,Shasta,304.0,40.4411992,-122.3182313,7,3,Summer,Large,2022-07-14,,23.9,18.9,3.4,0.0,Unknown,Medium,High,Dry,7,3,Summer
Grant Fire,2022-07-14,Sacramento,74.0,38.5570067,-121.1183895,7,3,Summer,Medium,2022-07-14,,23.9,18.9,3.4,0.0,Unknown,Medium,High,Dry,7,3,Summer
Rainbow Fire,2022-07-16,Tehama,60.0,40.010233,-122.433855,7,5,Summer,Medium,2022-07-16,,,,,0.0,Unknown,,,Dry,7,5,Summer
Riosa Fire,2022-07-17,Placer,38.0,38.9848309,-121.340201,7,6,Summer,Medium,2022-07-17,,,,,0.0,Unknown,,,Dry,7,6,Summer
Border 27 Fire,2022-07-17,San Diego,100.0,32.6077664,-116.6077664,7,6,Summer,Medium,2022-07-17,,,,,0.0,Unknown,,,Dry,7,6,Summer
Bell Fire,2022-07-17,Mendocino,43.0,39.90557,-123.598273,7,6,Summer,Medium,2022-07-17,,,,,0.0,Unknown,,,Dry,7,6,Summer
Agua Fire,2022-07-18,Mariposa,421.0,37.481701,-120.02107,7,0,Summer,Large,2022-07-18,,28.3,20.6,3.1,0.0,Unknown,High,High,Dry,7,0,Summer
Winding Fire,2022-07-18,Yuba,82.0,39.314076,-121.27693,7,0,Summer,Medium,2022-07-18,,28.3,20.6,3.1,0.0,Unknown,High,High,Dry,7,0,Summer
Meadow Fire ,2022-07-19,Mendocino,17.0,39.058043,-123.33756,7,1,Summer,Small,2022-07-19,,32.2,18.3,1.8,0.0,Unknown,High,High,Dry,7,1,Summer
