incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH_fire,DAY_OF_WEEK_fire,SEASON_fire,FIRE_SIZE_CAT,DATE,TAVG,TMAX,TMIN,AWND,PRCP,TAVG_CAT,TMAX_CAT,TMIN_CAT,PRCP_CAT,MONTH_weather,DAY_OF_WEEK_weather,SEASON_weather
Sierra Fire,2020-06-08,Riverside,100.0,33.82925,-117.46036,6,0,Summer,Medium,2020-06-08,,33.3,13.3,2.0,0.0,Unknown,High,Medium,Dry,6,0,Summer
Oak Fire,2020-06-08,Riverside,20.0,33.78275,-116.89655,6,0,Summer,Small,2020-06-08,,33.3,13.3,2.0,0.0,Unknown,High,Medium,Dry,6,0,Summer
Cronan Fire ,2020-06-09,El Dorado,29.0,38.827755,-120.988571,6,1,Summer,Small,2020-06-09,,37.8,17.2,1.7,0.0,Unknown,High,High,Dry,6,1,Summer
Vineyard Fire ,2020-06-09,Mendocino,151.0,38.89695,-123.21318,6,1,Summer,Medium,2020-06-09,,37.8,17.2,1.7,0.0,Unknown,High,High,Dry,6,1,Summer
India Fire,2020-06-09,San Diego,1100.0,33.37579,-117.47166,6,1,Summer,Large,2020-06-09,,37.8,17.2,1.7,0.0,Unknown,High,High,Dry,6,1,Summer
Lime Fire,2020-06-10,Ventura,803.0,34.46182,-118.77347,6,2,Summer,Large,2020-06-10,,,,,0.0,Unknown,,,Dry,6,2,Summer
Elizabeth Fire,2020-06-10,Ventura,300.0,34.29475,-119.17808,6,2,Summer,Large,2020-06-10,,,,,0.0,Unknown,,,Dry,6,2,Summer
Soda Fire,2020-06-10,San Luis Obispo,1680.0,35.35146,-120.00521,6,2,Summer,Large,2020-06-10,,,,,0.0,Unknown,,,Dry,6,2,Summer
Watt Fire,2020-06-11,Placer,40.0,38.733421,-121.378879,6,3,Summer,Medium,2020-06-11,,,,,0.0,Unknown,,,Dry,6,3,Summer
Skyline Fire,2020-06-11,San Diego,100.0,32.73044,-116.7862,6,3,Summer,Medium,2020-06-11,,,,,0.0,Unknown,,,Dry,6,3,Summer
Border 7 Fire,2020-06-11,San Diego,90.0,32.580882,-116.690712,6,3,Summer,Medium,2020-06-11,,,,,0.0,Unknown,,,Dry,6,3,Summer
Grant Fire,2020-06-12,Sacramento,5042.0,38.520981,-121.201927,6,4,Summer,Large,2020-06-12,,,,,0.0,Unknown,,,Dry,6,4,Summer
Hog Fire,2020-06-12,Fresno,533.0,36.82276,-119.36572,6,4,Summer,Large,2020-06-12,,,,,0.0,Unknown,,,Dry,6,4,Summer
